,id,ts,target_ts,resource,input_value,predicted_value,actual_value,horizon_seconds,model_version
8371,8294,2026-03-07 05:23:06.767229+00:00,2026-03-07 05:24:06.767229+00,ram,39.9453125,49.87947845458984,39.68359375,60,v20260306-_tuned_20260306-181039-0246
8372,8295,2026-03-07 05:23:06.787234+00:00,2026-03-07 05:24:06.787234+00,rps,36.120000000000005,545.3611450195312,35.37929241415171,60,v20260306-_tuned_20260306-181039-0246
8373,8296,2026-03-07 05:23:21.785843+00:00,2026-03-07 05:24:21.785843+00,cpu,0.0059687363294253,0.0659181103110313,0.0074978058591663,60,v20260306-_tuned_20260306-181039-0246
8374,8297,2026-03-07 05:23:21.806241+00:00,2026-03-07 05:24:21.806241+00,ram,39.94921875,49.88238906860352,40.109375,60,v20260306-_tuned_20260306-181039-0246
8375,8298,2026-03-07 05:23:21.820253+00:00,2026-03-07 05:24:21.820253+00,rps,35.820716414328295,545.8063354492188,35.83928321433571,60,v20260306-_tuned_20260306-181039-0246
8432,8299,2026-03-07 05:23:36.758851+00:00,2026-03-07 05:24:36.758851+00,cpu,0.0065563472685446,0.0653505846858024,0.0077084152755465,60,v20260306-_tuned_20260306-181039-0246
8433,8300,2026-03-07 05:23:36.774319+00:00,2026-03-07 05:24:36.774319+00,ram,39.484375,49.85593795776367,39.7109375,60,v20260306-_tuned_20260306-181039-0246
8434,8301,2026-03-07 05:23:36.785257+00:00,2026-03-07 05:24:36.785257+00,rps,35.120000000000005,544.1803588867188,36.18,60,v20260306-_tuned_20260306-181039-0246
8376,8302,2026-03-07 05:23:51.752440+00:00,2026-03-07 05:24:51.75244+00,cpu,0.0074159720236701,0.0651474297046661,0.0075222198960991,60,v20260306-_tuned_20260306-181039-0246
8377,8303,2026-03-07 05:23:51.767744+00:00,2026-03-07 05:24:51.767744+00,ram,39.4609375,49.83731460571289,39.859375,60,v20260306-_tuned_20260306-181039-0246
